"Fecha","VIX","SP500","DOW","NASDAQ","RUSSELL","GOLD","OIL","US10Y","US2Y","DOLLAR","EUROPE","Guerra6m"
2020-05-29,27.5100002288818,3044.31005859375,25383.109375,9489.8701171875,1394.0400390625,1736.90002441406,35.4900016784668,0.648000001907349,0.128000006079674,98.3399963378906,3050.19995117188,0
2020-06-05,24.5200004577637,3193.92993164062,27110.98046875,9814.080078125,1507.15002441406,1676.19995117188,39.5499992370605,0.903999984264374,0.144999995827675,96.9400024414062,3384.2900390625,0
2020-06-12,36.0900001525879,3041.31005859375,25605.5390625,9588.8095703125,1387.68005371094,1729.30004882812,36.2599983215332,0.699000000953674,0.150000005960464,97.3199996948242,3153.73999023438,0
2020-06-19,35.1199989318848,3097.73999023438,25871.4609375,9946.1201171875,1418.63000488281,1745.90002441406,39.75,0.697000026702881,0.14300000667572,97.620002746582,3269.10009765625,0
2020-06-26,34.7299995422363,3009.05004882812,25015.55078125,9757.2197265625,1378.78002929688,1772.5,38.4900016784668,0.635999977588654,0.133000001311302,97.5,3204.169921875,0
2020-07-02,27.6800003051758,3130.01000976562,25827.359375,10207.6298828125,1431.85998535156,1784,40.6500015258789,0.669000029563904,0.133000001311302,97.3199996948242,3250.19494628906,0
2020-07-10,27.2900009155273,3185.0400390625,26075.30078125,10617.4404296875,1422.68005371094,1798.19995117188,40.5499992370605,0.633000016212463,0.119999997317791,96.6500015258789,3296.21997070312,0
2020-07-17,25.6800003051758,3224.72998046875,26671.94921875,10503.1904296875,1473.31994628906,1808.30004882812,40.5900001525879,0.628000020980835,0.104999996721745,95.9400024414062,3365.60009765625,0
2020-07-24,25.8400001525879,3215.6298828125,26469.890625,10363.1796875,1467.55004882812,1897.30004882812,41.2900009155273,0.58899998664856,0.0979999974370003,94.4400024414062,3310.88989257812,0
2020-07-31,24.4599990844727,3271.1201171875,26428.3203125,10745.26953125,1480.43005371094,1962.80004882812,40.2700004577637,0.53600001335144,0.0829999968409538,93.4899978637695,3174.32006835938,0
2020-08-07,22.2099990844727,3351.28002929688,27433.48046875,11010.98046875,1569.18005371094,2010.09997558594,41.2200012207031,0.561999976634979,0.0879999995231628,93.4400024414062,3252.64990234375,0
2020-08-14,22.0499992370605,3372.85009765625,27931.01953125,11019.2998046875,1577.88000488281,1937,42.0099983215332,0.708999991416931,0.0879999995231628,93.0999984741211,3305.05004882812,0
2020-08-21,22.5400009155273,3397.15991210938,27930.330078125,11311.7998046875,1552.47998046875,1934.59997558594,42.3400001525879,0.639999985694885,0.0879999995231628,93.25,3259.75,0
2020-08-28,22.9599990844727,3508.01000976562,28653.869140625,11695.6298828125,1578.33996582031,1964.59997558594,42.9700012207031,0.728999972343445,0.0949999988079071,92.370002746582,3315.5400390625,0
2020-09-04,30.75,3426.9599609375,28133.310546875,11313.1298828125,1535.30004882812,1923.90002441406,39.7700004577637,0.721000015735626,0.103000000119209,92.7200012207031,3260.59008789062,0
2020-09-11,26.8700008392334,3340.96997070312,27665.640625,10853.5498046875,1497.27001953125,1937.80004882812,37.3300018310547,0.669000029563904,0.103000000119209,93.3300018310547,3315.81005859375,0
